Stock,Buy Date,Duration,Sell Price,Return Rate
SG,2018-07-26,1,4618,5.966039467645709
안랩,2019-11-05,24,61800,-1.4354066985645932
코스맥스,2014-08-22,49,99407,0.4841905224001294
코스맥스,2021-05-27,47,123500,-1.593625498007968
한국카본,2022-02-25,1,11950,4.366812227074235
TJ미디어,2009-11-02,23,3375,-0.7352941176470588
서진오토모티브,2018-01-19,12,4250,-8.896034297963558
삼양패키징,2023-03-08,1,18980,-0.3674540682414698
한일화학,2015-05-26,1,15000,-0.6622516556291391
제룡산업,2012-11-23,3,1793,-7.577319587628866
에스제이엠홀딩스,2000-08-17,1,2521,-3.112990007686395
에스제이엠홀딩스,2005-08-26,42,3611,7.887660591574544
에스제이엠홀딩스,2010-12-09,1,4470,0.33670033670033667
뉴보텍,2005-12-01,1,6596,6.765943671090968
판도라티비,2016-07-15,1,2350,-2.083333333333333
판도라티비,2024-03-25,1,1148,14.914914914914915
오리온홀딩스,2011-09-09,92,31488,18.487300094073376
오리온홀딩스,2015-03-19,1,52660,-0.37081882851521114
오리온홀딩스,2021-01-28,1,13400,-3.597122302158273
조광페인트,2012-06-12,1,9750,-1.1156186612576064
HDC현대EP,2011-06-21,1,7300,-1.3513513513513513
HDC현대EP,2021-11-17,1,6310,-2.018633540372671
유엑스엔,2020-06-09,1,9500,1.0638297872340425
서전기전,2018-10-12,1,4800,0.8403361344537815
아난티,2001-11-27,1,477,0.0
아난티,2011-09-06,1,496,3.3333333333333335
HLB,2017-03-03,1,6069,-1.2849707221860767
압타바이오,2023-05-31,1,11530,4.249547920433996
에넥스,2012-06-12,1,747,-1.710526315789474
큐엠씨,2017-02-28,1,15350,0.0
큐엠씨,2018-06-14,1,9950,0.0
베셀,2017-06-07,79,2175,9.186746987951807
에이디테크놀로지,2023-09-05,1,24000,-3.225806451612903
에이디테크놀로지,2024-02-15,1,29550,-2.7960526315789473
휠라홀딩스,2022-10-19,1,32850,0.7668711656441718
하나투어,2017-01-19,1,68672,1.8842170855464229
유니테크노,2017-04-04,14,4247,-8.705932932072228
한솔로지스틱스,2004-08-16,29,942,-3.877551020408163
우리기술투자,2009-03-12,1,255,-13.559322033898304
우리기술투자,2024-02-14,39,8490,25.591715976331358
관악산업,2016-09-08,1,3430,-4.722222222222222
관악산업,2016-10-04,1,3280,-8.88888888888889
관악산업,2017-09-20,1,5450,-2.3297491039426523
옵티시스,2021-09-01,3,26200,-7.583774250440917
삼양홀딩스,2006-01-06,1,49717,-1.7159236927943067
굿센,2017-04-21,1,24750,-0.6024096385542169
크리스탈신소재,2020-06-30,1,1730,-0.2881844380403458
이수페타시스,2004-10-11,1,1735,-3.9313399778516054
이화공영,2005-09-12,17,569,-7.32899022801303
이화공영,2008-09-09,1,5836,4.065620542082739
유아이디,2019-07-08,1,3720,3.0470914127423825
CG인바이츠,2020-07-29,1,9437,-3.081031118414296
핑거스토리,2024-02-16,46,3525,-5.241935483870968
한창,2019-11-08,1,10888,-3.6118980169971673
대주산업,2007-01-04,33,480,-1.0309278350515463
SK텔레콤,2002-01-03,1,48483,1.4437260686711444
삼륭물산,2000-06-02,1,2662,-2.4193548387096775
삼륭물산,2004-11-03,1,626,-10.826210826210826
이렘,2007-01-04,1,46371,-9.653976542103418
이렘,2009-03-25,1,20838,1.8773833968905838
이렘,2015-05-29,1,33781,-0.8337002788786143
LB세미콘,2024-01-25,2,8330,-9.16030534351145
모바일어플라이언스,2019-03-29,1,3223,0.9395552771688067
황금에스티,2020-07-13,1,4970,-1.3105639396346307
브리지텍,2024-02-16,19,8070,-2.7710843373493974
KH 필룩스,2009-03-09,70,19020,23.586744639376217
동국S&C,2013-11-07,10,4145,-8.194905869324474
동국S&C,2022-03-02,1,6230,1.3008130081300813
YTN,2009-06-24,1,4690,-1.882845188284519
코렌텍,2014-04-03,18,22790,-5.195723615791007
이비테크,2018-04-13,1,4750,8.695652173913043
원익홀딩스,2009-05-18,5,1360,-10.467412771560237
동원수산,2019-11-06,1,9580,0.8421052631578947
에코프로,2014-05-29,1,1071,4.182879377431906
옵티팜,2022-02-28,6,9730,-10.733944954128441
DB손해보험,2018-09-27,46,68100,-4.755244755244755
제이에스티나,2014-12-03,10,17000,-12.82051282051282
엔피,2023-01-17,1,6150,-3.149606299212598
유진로봇,2002-02-26,1,8526,-4.352703612295266
대현,2001-04-17,1,415,2.4691358024691357
대현,2016-04-19,28,3435,-7.036535859269283
HLB테라퓨틱스,2017-12-28,1,18054,9.09420508792072
HLB테라퓨틱스,2021-12-08,11,6887,-8.441903749002924
대림비앤코,2002-10-15,1,1994,-2.9683698296836982
SBS,2011-09-05,1,33500,1.5151515151515151
국영지앤엠,2011-12-23,1,1490,1.3605442176870748
국영지앤엠,2018-06-26,1,1840,-2.9023746701846966
LX인터내셔널,2002-01-28,1,5274,0.24710131153773046
웰크론한텍,2011-08-17,2,2255,-9.437751004016064
DSR,2020-07-13,1,3985,0.25157232704402516
롯데이노베이트,2023-04-18,1,31500,1.9417475728155338
재영솔루텍,2015-02-27,38,1638,8.548707753479125
JW중외제약,2020-07-24,1,34032,-4.302345199932512
남성,2000-08-14,1,701,14.918032786885247
태양,2004-05-24,1,3090,3.0
샘표,2018-07-09,3,43200,-10.651499482936918
샘표,2019-04-04,1,36950,-0.13513513513513514
SK케미칼,2021-10-08,13,186000,-7.229144014284716
피에스텍,2020-12-21,12,4400,-7.853403141361256
MIT,2013-04-15,1,47844,-4.852438151300612
코오롱인더,2010-10-25,1,70700,3.9889392245690414
조광ILI,2018-06-07,1,1097,-6.239316239316239
대원미디어,2010-10-21,1,9750,-3.4653465346534658
대원미디어,2012-11-23,1,11250,3.686635944700461
대원미디어,2015-05-19,1,8380,0.11947431302270012
대원미디어,2018-11-12,1,9370,-2.089864158829676
아이크래프트,2006-11-02,1,1493,1.495581237253569
아이크래프트,2015-08-05,1,9018,-0.9119876936600374
아이크래프트,2024-01-05,1,4000,2.3017902813299234
휴온스,2022-02-08,1,48700,3.6170212765957444
DH오토웨어,2005-11-03,1,16900,7.301587301587302
DH오토웨어,2012-04-30,1,4970,14.913294797687863
삼성출판사,2011-10-13,1,6360,0.9523809523809524
삼성출판사,2016-10-10,3,12450,-7.777777777777778
SPC삼립,2001-10-10,6,32457,-12.883484982687818
보성파워텍,2009-02-16,1,951,-9.082217973231357
보성파워텍,2009-03-16,1,1102,1.566820276497696
보성파워텍,2011-12-22,58,2496,15.341959334565619
보성파워텍,2019-11-05,12,2035,-7.918552036199094
동원산업,2005-02-07,34,2780,1.4598540145985401
동원산업,2007-03-27,1,8190,-0.7272727272727273
푸드웰,2005-09-02,51,804,8.795669824086604
LIG넥스원,2016-07-22,1,101500,2.2155085599194364
삼진제약,2000-05-09,1,26052,1.0198146496568303
엠투엔,2000-12-08,1,3591,-7.305110996386165
티에이치엔,2009-09-08,1,1295,14.601769911504425
티에이치엔,2015-12-29,1,1835,-0.8108108108108109
대명소노시즌,2006-02-07,1,5140,0.0
대명소노시즌,2009-07-27,1,1140,-1.2987012987012987
KG케미칼,2008-04-15,1,2280,2.242152466367713
성호전자,2009-06-25,12,1740,-10.077519379844961
성호전자,2010-12-10,1,2075,5.86734693877551
제이엠티,2011-05-30,1,1945,-3.7128712871287126
위메이드플레이,2014-09-12,1,63549,5.601714912426468
브이원텍,2021-03-09,1,10800,-10.37344398340249
LG화학,2002-08-26,1,62436,0.22956030372594033
LG화학,2022-07-22,1,556000,-0.8912655971479502
쇼박스,2020-09-15,1,2815,-0.1773049645390071
링크제니시스,2020-12-21,47,7540,2.8649386084583903
한국금융지주,2004-02-13,1,6910,0.14492753623188406
한국금융지주,2018-03-12,16,78500,-8.932714617169374
아이윈플러스,2020-07-20,9,5925,-7.204385277995301
앤씨앤,2017-02-20,1,6074,-1.2999675008124796
디오,2012-01-06,1,8640,1.4084507042253522
삼영전자공업,2000-05-09,1,11550,-2.11864406779661
휴스틸,2005-04-21,22,2549,-5.382331106161841
에스바이오메딕스,2024-02-14,1,10050,0.7014028056112225
가온전선,2002-01-28,2,5590,-9.07612231620039
HDC,2003-06-26,1,6052,-1.9283746556473829
시알홀딩스,2023-06-16,37,10570,-4.170444242973708
THE MIDONG,2015-04-13,1,5570,-1.763668430335097
THE MIDONG,2019-04-05,1,4075,-4.004711425206125
THE MIDONG,2023-04-04,1,1370,10.483870967741936
대한뉴팜,2017-10-16,1,12200,0.411522633744856
흥구석유,2011-12-23,4,1500,-7.4074074074074066
우진,2022-05-04,1,13150,13.852813852813853
KBI메탈,2004-05-11,4,27306,-14.618054469841468
코이즈,2020-12-21,1,1110,-3.225806451612903
인터플렉스,2003-08-11,32,17627,19.691722686222583
인터플렉스,2009-10-28,1,6676,0.3909774436090226
부산주공,2006-01-24,8,1554,-9.069631363370393
테크엘,2005-08-23,1,20419,-3.5520287185300647
썬테크,2017-09-29,1,22250,5.450236966824645
썬테크,2019-03-13,1,10000,0.0
GS건설,2021-06-02,7,43100,-5.066079295154185
데이터스트림즈,2019-07-16,1,3800,-13.538111490329921
삼부토건,2004-09-17,133,74965,49.454733946051554
삼부토건,2018-04-20,1,2150,29.518072289156628
한독,2003-06-10,38,5441,5.979742890533697
아진산업,2020-09-15,1,2750,3.3834586466165413
바이오솔루션,2022-09-16,1,13700,-6.164383561643835
HJ중공업,2014-04-01,12,129523,-7.9425436040313295
인선이엔티,2011-08-19,1,3365,-6.136680613668061
금호타이어,2007-08-30,1,47476,0.0
세화피앤씨,2018-11-08,1,2498,-3.4775888717156103
세화피앤씨,2019-04-08,1,1672,2.7658266748617084
퍼스텍,2019-11-05,14,2090,-7.929515418502203
로보로보,2017-12-27,73,3620,34.173461823573014
현대에이치티,2001-07-09,1,1830,-4.18848167539267
현대에이치티,2011-08-18,1,3200,3.059581320450886
현대에이치티,2011-10-18,1,4215,10.775295663600525
엄지하우스,2022-11-22,1,4715,-0.7368421052631579
CBI,2000-04-25,1,620,-10.144927536231885
CBI,2001-04-26,1,790,-12.222222222222221
화승인더스트리,2002-05-09,1,1028,-2.927289896128423
화승인더스트리,2016-02-29,1,7820,-0.6353240152477764
대원제약,2000-11-16,1,1101,3.9660056657223794
HD현대일렉트릭,2020-07-13,1,8000,-3.0303030303030303
코미코,2019-04-04,51,27000,-4.25531914893617
드림씨아이에스,2023-08-03,1,3467,3.153823266884856
디젠스,2015-12-18,3,1361,-7.035519125683059
현우산업,2009-06-26,48,5399,20.271775451102695
영보화학,2002-01-04,1,1804,-1.366867140513942
데브시스터즈,2021-05-31,1,112600,-1.6593886462882095
데브시스터즈,2021-11-12,1,148700,-2.1710526315789473
디앤씨미디어,2018-01-08,1,9090,-4.315789473684211
이니텍,2005-05-23,1,2335,0.646551724137931
이니텍,2011-08-18,6,2615,-11.35593220338983
아이쓰리시스템,2022-02-10,1,18650,-3.116883116883117
질경이,2018-08-27,1,11400,-8.799999999999999
메디콕스,2003-01-14,1,1178971,0.8978330822949472
메디콕스,2007-03-09,1,428111,-14.961673152137426
메디콕스,2016-01-21,6,13090,-8.30764920145699
까뮤이앤씨,2009-06-30,5,786,-8.498253783469151
까뮤이앤씨,2013-03-12,1,242,-2.0242914979757085
광림,2021-01-15,1,1765,-4.076086956521739
