Stock,Date
유니포인트,2016-05-25
유니포인트,2018-09-05
아이톡시,2006-04-27
신화콘텍,2016-09-30
신화콘텍,2021-08-19
에이디칩스,2002-05-13
에이디칩스,2013-02-20
NHN벅스,2010-02-17
NHN벅스,2010-10-22
화천기공,2000-06-01
화천기공,2000-07-14
화천기공,2005-05-23
CJ씨푸드,2011-03-08
에이프로,2022-03-02
비덴트,2021-02-10
비덴트,2021-10-19
에이테크솔루션,2010-06-23
뉴지랩파마,2017-04-20
디지아이,2006-01-25
디지아이,2015-06-01
이베스트투자증권,2008-02-22
삼진,2019-02-14
인크로스,2017-02-10
인크로스,2019-06-11
미코,2006-11-06
미코,2010-03-03
미코,2023-09-04
서진시스템,2018-03-12
서진시스템,2019-07-02
모두투어,2015-08-28
코셋,2015-08-10
코셋,2018-08-10
코셋,2020-07-21
코셋,2022-07-27
와이엠,2006-04-03
제넥신,2015-03-17
제넥신,2017-11-07
엔씨소프트,2017-03-15
로보티즈,2022-02-25
우성,2019-03-20
하이록코리아,2017-04-24
바른손,2005-04-04
바른손,2014-05-27
바른손,2015-11-19
케이엔제이,2020-06-29
키네마스터,2019-09-03
RFHIC,2021-06-03
쌍용정보통신,2019-02-08
에프에스티,2019-07-17
크로넥스,2020-01-02
뷰웍스,2011-12-09
이루온,2009-03-18
아이진,2018-03-12
앱클론,2022-10-21
바른손이앤에이,2007-11-22
시큐브,2012-04-26
유니켐,2001-07-13
루트락,2023-01-20
보령,2001-01-04
파인디지털,2009-09-17
파인디지털,2012-11-26
로보쓰리에이아이,2018-05-30
디지털대성,2004-09-09
디지털대성,2005-11-25
동일고무벨트,2015-07-20
헬릭스미스,2018-04-05
해성옵틱스,2018-09-20
후성,2007-08-23
KH바텍,2007-05-28
동양,2008-02-22
나노엔텍,2017-12-28
에스엘,2015-05-22
레드캡투어,2001-01-12
대유,2023-01-04
쎄니트,2003-10-27
쎄니트,2012-07-30
현대제철,2003-08-18
현대제철,2010-02-24
에코캡,2020-07-15
삼일,2000-05-15
유진기업,2005-06-01
효성화학,2020-09-08
효성화학,2021-08-31
커넥트웨이브,2015-05-27
커넥트웨이브,2020-06-19
메지온,2013-02-20
국도화학,2005-11-16
휴니드테크놀러지스,2006-01-18
홈센타홀딩스,2020-09-15
일진디스플,2012-02-16
사람인,2016-09-22
서울제약,2017-05-08
코웰패션,2015-08-28
메이슨캐피탈,2015-11-18
아스트,2019-11-18
에이치케이,2003-06-23
에이치케이,2007-02-08
신일제약,2012-04-20
신일제약,2020-03-04
한화손해보험,2009-07-21
인지디스플레,2002-03-07
인지디스플레,2005-10-26
와이엠티,2019-10-18
SM C&C,2017-04-03
영진약품,2002-01-08
카나리아바이오,2020-09-15
에코바이오,2011-08-17
지에스이,2012-05-09
SIMPAC,2005-09-29
JW신약,2010-12-10
JW신약,2011-09-05
JW신약,2011-12-22
테크엔,2022-10-24
세원정공,2019-06-07
에스퓨얼셀,2021-08-30
대양금속,2010-02-22
티피씨글로벌,2015-06-24
서남,2023-07-28
웰크론,2015-07-16
토탈소프트,2011-04-08
세기상사,2011-08-18
케이피에스,2020-11-27
CNH,2000-11-09
CNH,2002-01-24
CNH,2007-07-23
CNH,2014-06-13
파이오링크,2024-04-26
라닉스,2023-04-13
SM Life Design,2007-02-05
화일약품,2002-12-06
화일약품,2003-06-09
화일약품,2006-01-16
화일약품,2020-03-26
나눔테크,2018-10-04
녹원씨엔아이,2011-04-01
녹원씨엔아이,2012-06-07
씨티알모빌리티,2023-01-13
세진중공업,2020-09-07
동국산업,2000-04-19
틸론,2016-01-29
SNT다이내믹스,2010-05-03
인지소프트,2015-11-19
인지소프트,2019-07-23
엠벤처투자,2004-11-15
엠벤처투자,2005-09-23
스타리츠,2023-06-13
노랑풍선,2021-09-15
사조동아원,2008-05-16
DB금융투자,2020-07-20
코스텍시스,2023-05-10
삼성에스디에스,2020-07-13
듀오백,2019-08-27
듀오백,2023-12-11
유니셈,2004-11-04
유니셈,2020-03-06
유니셈,2023-03-21
유니셈,2023-05-22
TCC스틸,2023-11-07
위월드,2014-12-02
위월드,2015-12-23
위월드,2017-04-26
위월드,2018-07-10
아바코,2018-01-02
아바코,2022-10-06
하이로닉,2017-06-02
흥국화재,2005-04-04
정상제이엘에스,2004-02-19
SG글로벌,2020-07-06
성우전자,2023-05-10
한익스프레스,2001-03-30
한익스프레스,2007-11-14
한익스프레스,2019-06-12
한익스프레스,2023-01-17
우리로,2017-03-28
우리로,2023-01-10
덕성,2013-04-03
덕성,2019-08-22
세원이앤씨,2009-08-28
엔케이맥스,2023-08-16
엘리비젼,2021-12-20
에이엔피,2021-09-29
삼성증권,2018-03-14
팬스타엔터프라이즈,2006-01-19
팬스타엔터프라이즈,2019-04-01
한국미라클피플사,2022-02-24
골드앤에스,2001-07-05
골드앤에스,2005-04-07
케이피엠테크,2023-03-29
버킷스튜디오,2012-11-07
버킷스튜디오,2021-09-10
DB하이텍,2002-01-28
미래산업,2002-03-06
나라소프트,2023-03-16
하이트진로홀딩스,2015-06-25
한일철강,2011-09-05
비엘팜텍,2007-09-03
선광,2000-05-09
선광,2004-01-05
아미코젠,2020-01-02
HL홀딩스,2021-02-17
동아화성,2006-06-12
동아화성,2021-08-10
현대엘리베이터,2003-12-16
동부건설,2000-08-18
동부건설,2016-04-05
고려제약,2009-10-27
고려제약,2020-01-02
서린바이오,2020-02-20
씨에스윈드,2017-08-29
코아스,2015-08-27
코아스,2015-11-18
오로라,2012-11-26
오로라,2019-07-12
감성코퍼레이션,2002-01-29
감성코퍼레이션,2015-06-04
웨스트라이즈,2010-08-05
파라텍,2016-12-01
파라텍,2020-05-26
SOOP,2004-11-18
에스아이리소스,2005-06-14
로지스몬,2021-01-21
로지스몬,2023-11-15
로지스몬,2024-03-14
한일현대시멘트,2005-11-25
서울전자통신,2015-09-18
미래나노텍,2016-11-15
글로벌텍스프리,2021-02-17
와이솔,2015-12-07
덕산네오룩스,2019-08-14
키움증권,2024-01-31
한양디지텍,2014-11-10
아이오케이,2007-06-12
아이오케이,2013-03-28
나노,2016-06-01
나노,2023-06-12
LG생활건강,2002-01-04
LG생활건강,2020-10-07
엔텔스,2013-07-03
와토스코리아,2007-08-08
와토스코리아,2012-08-09
와토스코리아,2022-09-21
씨티씨바이오,2022-02-28
사조산업,2006-10-16
오뚜기,2015-11-19
위지윅스튜디오,2023-01-18
자비스,2022-10-28
비비안,2000-11-28
고려아연,2010-12-15
고려아연,2011-09-02
바텍,2009-06-03
바텍,2014-04-02
다올투자증권,2002-01-29
파트론,2012-08-14
디와이,2009-10-12
디와이,2022-03-21
CJ제일제당,2011-10-25
바디텍메드,2018-03-12
바디텍메드,2020-10-29
MDS테크,2007-11-13
삼화전자공업,2018-01-16
삼영,2021-06-07
지아이텍,2022-10-19
태원물산,2000-11-30
태원물산,2001-01-05
태원물산,2018-06-18
한탑,2009-03-24
한탑,2019-03-29
NHN KCP,2015-07-02
티엔엔터테인먼트,2018-04-05
삼익악기,2002-07-26
휴림에이텍,2006-06-07
휴림에이텍,2010-11-15
휴림에이텍,2015-01-09
이수앱지스,2013-06-20
이수앱지스,2018-04-09
코스모화학,2007-09-17
STX,2016-08-24
이녹스,2011-03-23
폴라리스AI,2011-07-19
SKC,2004-11-04
진원생명과학,2015-01-07
대신증권,2016-02-01
에스원,2010-05-18
동국제약,2019-09-03
고영,2015-02-25
디씨엠,2001-07-30
디씨엠,2021-05-25
대주이엔티,2019-05-16
대주이엔티,2021-09-17
대주이엔티,2022-07-29
에스에이엠티,2021-09-17
코데즈컴바인,2006-03-22
코데즈컴바인,2009-04-28
엘오티베큠,2006-09-04
엘오티베큠,2009-06-22
SGA,2012-08-31
성우하이텍,2011-05-27
성우하이텍,2022-10-19
성우하이텍,2024-02-02
KC그린홀딩스,2013-07-15
신영와코루,2004-11-16
현대약품,2008-01-21
영화금속,2007-07-27
영화금속,2013-03-22
비유테크놀러지,2021-02-17
인텔리안테크,2020-02-14
이노시스,2018-06-29
이노시스,2021-06-21
더존비즈온,2005-03-31
더존비즈온,2006-02-16
한국큐빅,2007-02-06
한국큐빅,2014-08-29
한국큐빅,2020-07-10
한창제지,2002-06-14
한창제지,2009-03-26
삼성전기,2018-08-28
파워풀엑스,2020-07-24
좋은사람들,2015-06-10
좋은사람들,2019-08-16
