Stock,Buy Date,Buy Price,Sell Price,Return Rate
신풍제약,2005-05-23,1190,1155,-2.941176470588235
나노신소재,2019-03-22,18500,17100,-7.567567567567568
한솔아이원스,2017-07-18,9323,9448,1.3407701383674782
솔브레인홀딩스,2023-10-20,36500,35150,-3.6986301369863015
효성,2013-07-02,34442,33910,-1.544625747633703
디티앤씨,2018-05-29,13700,13000,-5.109489051094891
대봉엘에스,2012-01-06,2920,2785,-4.623287671232877
대봉엘에스,2018-04-02,12550,11650,-7.171314741035857
POSCO홀딩스,2023-06-07,388500,388000,-0.1287001287001287
한국앤컴퍼니,2021-03-29,19050,19000,-0.26246719160104987
SK하이닉스,2000-08-18,429888,432833,0.6850621557242816
나라엠앤디,2020-09-17,8490,8070,-4.946996466431095
대아티아이,2006-02-21,1974,1871,-5.2178318135764945
대아티아이,2019-11-08,6100,5900,-3.278688524590164
대아티아이,2021-07-28,6790,6810,0.29455081001472755
남선알미늄,2000-08-16,165,166,0.6060606060606061
남선알미늄,2005-09-09,212,209,-1.4150943396226416
남선알미늄,2008-10-01,672,772,14.880952380952381
인성정보,2005-09-12,1538,1476,-4.031209362808843
룽투코리아,2012-07-06,3220,2865,-11.024844720496894
어보브반도체,2021-06-15,15700,15900,1.2738853503184715
화성밸브,2009-07-16,2136,2120,-0.7490636704119851
엔터파트너즈,2022-10-05,801,1380,72.28464419475655
디지틀조선,2003-07-18,1580,1550,-1.89873417721519
시공테크,2004-01-07,1765,1615,-8.498583569405099
시공테크,2012-01-03,3820,5830,52.617801047120416
서울식품공업,2008-04-23,236,202,-14.40677966101695
삼일제약,2018-08-24,12119,12805,5.660533047281128
삼일제약,2019-11-06,10839,10153,-6.328997139957561
삼일제약,2020-07-23,9718,9352,-3.766207038485285
에이텍모빌리티,2020-07-01,9550,19100,100.0
에이텍모빌리티,2020-10-14,24500,22850,-6.73469387755102
엘디티,2009-08-14,4870,4550,-6.570841889117044
팜젠사이언스,2000-05-09,13923,14529,4.352510234863176
이지홀딩스,2009-03-20,1915,1911,-0.20887728459530025
HD현대에너지솔루션,2022-03-02,24950,24250,-2.80561122244489
이엠티,2016-08-25,7450,6340,-14.899328859060404
이엠티,2018-02-07,2600,2600,0.0
이엠티,2019-02-19,2800,3200,14.285714285714285
네패스,2009-10-12,12749,12936,1.4667817083692838
KR모터스,2014-06-11,20526,18850,-8.165253824417812
지엔코,2003-06-17,1835,1911,4.141689373297003
지엔코,2011-11-07,2050,2060,0.4878048780487805
지엔코,2020-01-10,1240,1165,-6.048387096774194
EG,2006-07-06,8157,7934,-2.733848228515386
쌍방울,2022-06-13,827,732,-11.487303506650544
한울소재과학,2009-03-26,1150,1100,-4.3478260869565215
케이바이오,2020-11-30,2447,2477,1.2259910093992643
케이바이오,2021-09-01,2633,2707,2.8104823395366503
서원,2009-02-04,489,435,-11.042944785276074
서원,2016-07-01,1905,1985,4.199475065616798
팜스코,2000-08-17,1245,1200,-3.614457831325301
팜스코,2009-07-06,1700,1690,-0.5882352941176471
바이온,2018-01-02,3893,4394,12.869252504495249
세아베스틸지주,2002-05-28,32125,32125,0.0
삼성SDI,2008-05-16,80000,81500,1.875
제이앤티씨,2020-06-26,14050,12900,-8.185053380782918
영풍제지,2021-02-01,2869,2947,2.718717323109097
영풍제지,2021-04-08,3218,3149,-2.1441889372280922
국동,2009-03-16,1124,1475,31.22775800711744
국동,2010-06-07,955,991,3.769633507853403
국동,2012-03-20,825,780,-5.454545454545454
휴림로봇,2009-03-20,1177,1237,5.097706032285472
일진전기,2012-02-27,6400,5691,-11.078125
일진전기,2023-08-25,10872,11335,4.258646063281825
일진전기,2023-11-27,12933,12942,0.06958942240779402
유한양행,2000-09-29,3791,3597,-5.117383276180427
성창기업지주,2001-01-11,635,622,-2.047244094488189
성창기업지주,2001-10-31,1042,1838,76.3915547024952
도이치모터스,2007-02-22,12512,12274,-1.9021739130434785
도이치모터스,2009-06-03,2447,2351,-3.9231712300776462
도이치모터스,2011-01-03,4572,6728,47.15660542432196
세우글로벌,2014-03-27,2360,2370,0.423728813559322
포스코스틸리온,2023-02-17,35650,34000,-4.628330995792426
포스코스틸리온,2023-06-14,52000,53200,2.307692307692308
인지컨트롤스,2011-05-31,6130,5920,-3.4257748776508974
인지컨트롤스,2022-09-19,8260,8800,6.5375302663438255
유수홀딩스,2004-10-28,10483,10388,-0.9062291328818086
유수홀딩스,2014-12-02,5604,9370,67.20199857244825
스페코,2010-11-24,4400,3905,-11.25
신라에스지,2002-01-08,3690,3560,-3.523035230352303
에스코넥,2018-06-01,2540,2590,1.968503937007874
HL D&I,2019-11-08,3245,3230,-0.46224961479198773
SG,2018-07-26,4358,4618,5.966039467645709
안랩,2019-11-05,62700,61800,-1.4354066985645932
코스맥스,2014-08-22,98928,99407,0.4841905224001294
코스맥스,2021-05-27,125500,123500,-1.593625498007968
한국카본,2022-02-25,11450,11950,4.366812227074235
TJ미디어,2009-11-02,3400,3375,-0.7352941176470588
서진오토모티브,2018-01-19,4665,4250,-8.896034297963558
삼양패키징,2023-03-08,19050,18980,-0.3674540682414698
한일화학,2015-05-26,15100,15000,-0.6622516556291391
제룡산업,2012-11-23,1940,1793,-7.577319587628866
에스제이엠홀딩스,2000-08-17,2602,2521,-3.112990007686395
에스제이엠홀딩스,2005-08-26,3347,3611,7.887660591574544
에스제이엠홀딩스,2010-12-09,4455,4470,0.33670033670033667
뉴보텍,2005-12-01,6178,6596,6.765943671090968
판도라티비,2016-07-15,2400,2350,-2.083333333333333
판도라티비,2024-03-25,999,1148,14.914914914914915
오리온홀딩스,2011-09-09,26575,31488,18.487300094073376
오리온홀딩스,2015-03-19,52856,52660,-0.37081882851521114
오리온홀딩스,2021-01-28,13900,13400,-3.597122302158273
조광페인트,2012-06-12,9860,9750,-1.1156186612576064
HDC현대EP,2011-06-21,7400,7300,-1.3513513513513513
HDC현대EP,2021-11-17,6440,6310,-2.018633540372671
유엑스엔,2020-06-09,9400,9500,1.0638297872340425
서전기전,2018-10-12,4760,4800,0.8403361344537815
아난티,2001-11-27,477,477,0.0
아난티,2011-09-06,480,496,3.3333333333333335
HLB,2017-03-03,6148,6069,-1.2849707221860767
압타바이오,2023-05-31,11060,11530,4.249547920433996
에넥스,2012-06-12,760,747,-1.710526315789474
큐엠씨,2017-02-28,15350,15350,0.0
큐엠씨,2018-06-14,9950,9950,0.0
베셀,2017-06-07,1992,2175,9.186746987951807
에이디테크놀로지,2023-09-05,24800,24000,-3.225806451612903
에이디테크놀로지,2024-02-15,30400,29550,-2.7960526315789473
휠라홀딩스,2022-10-19,32600,32850,0.7668711656441718
하나투어,2017-01-19,67402,68672,1.8842170855464229
유니테크노,2017-04-04,4652,4247,-8.705932932072228
한솔로지스틱스,2004-08-16,980,942,-3.877551020408163
우리기술투자,2009-03-12,295,255,-13.559322033898304
우리기술투자,2024-02-14,6760,8490,25.591715976331358
관악산업,2016-09-08,3600,3430,-4.722222222222222
관악산업,2016-10-04,3600,3280,-8.88888888888889
관악산업,2017-09-20,5580,5450,-2.3297491039426523
옵티시스,2021-09-01,28350,26200,-7.583774250440917
삼양홀딩스,2006-01-06,50585,49717,-1.7159236927943067
굿센,2017-04-21,24900,24750,-0.6024096385542169
크리스탈신소재,2020-06-30,1735,1730,-0.2881844380403458
이수페타시스,2004-10-11,1806,1735,-3.9313399778516054
이화공영,2005-09-12,614,569,-7.32899022801303
이화공영,2008-09-09,5608,5836,4.065620542082739
유아이디,2019-07-08,3610,3720,3.0470914127423825
CG인바이츠,2020-07-29,9737,9437,-3.081031118414296
핑거스토리,2024-02-16,3720,3525,-5.241935483870968
한창,2019-11-08,11296,10888,-3.6118980169971673
대주산업,2007-01-04,485,480,-1.0309278350515463
SK텔레콤,2002-01-03,47793,48483,1.4437260686711444
삼륭물산,2000-06-02,2728,2662,-2.4193548387096775
삼륭물산,2004-11-03,702,626,-10.826210826210826
이렘,2007-01-04,51326,46371,-9.653976542103418
이렘,2009-03-25,20454,20838,1.8773833968905838
이렘,2015-05-29,34065,33781,-0.8337002788786143
LB세미콘,2024-01-25,9170,8330,-9.16030534351145
모바일어플라이언스,2019-03-29,3193,3223,0.9395552771688067
